"sim_year","site","year","md","ave30moistureMeasure","ave30_60moistureMeasure","ave60_100moistureMeasure","totalSoilMoistureMeasure","ID_sim","DOY","Rain","Irri","bulk_density","porosity","TW0_30","TW30_60","TW60_100","allTWsim","topPorosity"
2001,1,2001,"06-07",NA,NA,NA,NA,3,158,0,0,1.1,0.58,9.12,12.33,16.48,37.93,0.58
2001,1,2001,"06-07",NA,NA,NA,NA,34,158,0,0,1.15,0.56,8.82,11.91,15.92,36.65,0.57
2001,1,2001,"06-07",NA,NA,NA,NA,1,158,0,0,1.1,0.58,9.12,12.33,16.48,37.93,0.58
2001,1,2001,"06-07",NA,NA,NA,NA,35,158,0,0,1.15,0.56,8.82,11.91,15.92,36.65,0.57
2001,1,2001,"06-07",NA,NA,NA,NA,36,158,0,0,1.15,0.56,8.82,11.91,15.92,36.65,0.57
2001,1,2001,"06-08",NA,NA,NA,NA,35,159,0,0,1.15,0.56,8.49,11.88,15.92,36.29,0.57
2001,1,2001,"06-08",NA,NA,NA,NA,69,159,0,0,1.2,0.54,8.16,11.46,15.36,34.98,0.55
2001,1,2001,"06-08",NA,NA,NA,NA,67,159,0,0,1.2,0.54,8.16,11.46,15.36,34.98,0.55
2001,1,2001,"06-08",NA,NA,NA,NA,3,159,0,0,1.1,0.58,8.79,12.3,16.48,37.57,0.58
2001,1,2001,"06-08",NA,NA,NA,NA,68,159,0,0,1.2,0.54,8.16,11.46,15.36,34.98,0.55
2001,1,2001,"06-08",NA,NA,NA,NA,1,159,0,0,1.1,0.58,8.79,12.3,16.48,37.57,0.58
2001,1,2001,"06-08",NA,NA,NA,NA,34,159,0,0,1.15,0.56,8.49,11.88,15.92,36.29,0.57
2001,1,2001,"06-08",NA,NA,NA,NA,2,159,0,0,1.1,0.58,8.79,12.3,16.48,37.57,0.58
2001,1,2001,"06-08",NA,NA,NA,NA,36,159,0,0,1.15,0.56,8.49,11.88,15.92,36.29,0.57
2001,1,2001,"06-09",NA,NA,NA,NA,67,160,0,0,1.2,0.54,7.68,11.4,15.36,34.44,0.55
2001,1,2001,"06-09",NA,NA,NA,NA,3,160,0,0,1.1,0.58,8.28,12.27,16.48,37.03,0.58
2001,1,2001,"06-09",NA,NA,NA,NA,36,160,0,0,1.15,0.56,7.98,11.85,15.92,35.75,0.57
2001,1,2001,"06-09",NA,NA,NA,NA,2,160,0,0,1.1,0.58,8.28,12.27,16.48,37.03,0.58
2001,1,2001,"06-09",NA,NA,NA,NA,69,160,0,0,1.2,0.54,7.68,11.4,15.36,34.44,0.55
2001,1,2001,"06-09",NA,NA,NA,NA,68,160,0,0,1.2,0.54,7.68,11.4,15.36,34.44,0.55
2001,1,2001,"06-09",NA,NA,NA,NA,35,160,0,0,1.15,0.56,7.98,11.85,15.92,35.75,0.57
